연번,정류소아이디(ID),정류소명,경도,위도,데이터기준일자
1157,13092,어옥회관,128.135903,35.30496359,2021-09-09
1158,13058,어옥회관,128.136118,35.30487405,2021-09-09
1159,14056,엄목,128.0313422,35.25552068,2021-09-09
1160,14055,엄목,128.0311619,35.25540475,2021-09-09
1161,4031,엄정,128.1794194,35.11445224,2021-09-09
1162,4058,엄정,128.1856989,35.11540424,2021-09-09
1163,4032,엄정,128.179313,35.11448708,2021-09-09
1164,4030,엄정경로회관,128.1892195,35.11678676,2021-09-09
1165,3102,에스앤에스밸브,128.1046589,35.12647709,2021-09-09
1166,3103,에스앤에스밸브,128.1045167,35.12650993,2021-09-09
1167,8073,에스에스테크,128.2737882,35.18692474,2021-09-09
1168,8074,에스에스테크,128.2735263,35.18702663,2021-09-09
1169,47015,연암공과대학교,128.1060126,35.16450656,2021-09-09
1170,47016,연암공과대학교,128.1058741,35.1640076,2021-09-09
1171,35023,연암도서관,128.103112,35.18256804,2021-09-09
1172,35022,연암도서관,128.1032502,35.18264339,2021-09-09
1173,35021,연암도서관입구,128.1042783,35.18174624,2021-09-09
1174,35020,연암도서관입구,128.1044351,35.18157131,2021-09-09
1175,4001,예비군훈련장입구,128.1708653,35.13678604,2021-09-09
1176,4002,예비군훈련장입구/정자입구,128.1706437,35.13683099,2021-09-09
1177,3019,예상,128.1018736,35.11007158,2021-09-09
1178,3020,예상,128.1018156,35.11024336,2021-09-09
1179,3016,예하리,128.0978153,35.11422996,2021-09-09
1180,3087,예하리.강주연못,128.0962899,35.1145161,2021-09-09
1181,3086,예하리.강주연못,128.0963209,35.11458116,2021-09-09
1182,10052,오곡,128.1967328,35.23478511,2021-09-09
1183,10053,오곡,128.1966361,35.23474551,2021-09-09
1184,12063,오동,128.1284567,35.24578327,2021-09-09
1185,8034,오동,128.3124536,35.20530136,2021-09-09
1186,46011,오동,128.0417674,35.17125458,2021-09-09
1187,46012,오동,128.0416405,35.17141791,2021-09-09
1188,12062,오동,128.1283653,35.24573005,2021-09-09
1189,8035,오동,128.3125617,35.20536553,2021-09-09
1190,8058,오동1,128.3083975,35.2005933,2021-09-09
1191,46607,오동골,128.043853,35.1710451,2021-09-09
1192,46608,오동골,128.0439947,35.17096051,2021-09-09
1193,7003,오동입구,128.2989325,35.16230077,2021-09-09
1194,12060,오동회관입구,128.1295531,35.24404031,2021-09-09
1195,12061,오동회관입구,128.129457,35.24404346,2021-09-09
1196,3078,오룡골,128.0930796,35.13141084,2021-09-09
1197,14018,오미,127.9983032,35.24015821,2021-09-09
1198,1284,오미,127.9982123,35.23996671,2021-09-09
1199,14020,오미회관,127.9952262,35.24120428,2021-09-09
1200,14021,오미회관,127.9949093,35.24202031,2021-09-09
1201,13035,오방,128.1204376,35.29654381,2021-09-09
1202,13034,오방,128.120439,35.29644465,2021-09-09
1203,24001,오죽광장,128.0687886,35.19364863,2021-09-09
1204,25001,오죽광장,128.0688871,35.19340892,2021-09-09
1205,1105,오죽광장/국제빌딩,128.0705568,35.19391221,2021-09-09
1206,31006,옥봉대림아파트,128.0949558,35.19569738,2021-09-09
1207,31005,옥봉대림아파트,128.0951973,35.19569745,2021-09-09
